replied_tweet_id,reply_tweet_id,annotation1,annotation2,final_annotation
1235897919716438018,1235951178766303233,2,2,2
1236539402865737728,1236549583846748160,0,0,0
1238529449693523968,1238550174005329924,2,2,2
1238478400936972288,1238479986174148610,0,0,0
1238410101226180612,1238445210985730049,0,0,0
1179323361274580992,1238820809210302467,0,0,0
1238790020703584256,1238803633506070528,0,0,0
1239096044727787521,1239683981760696320,0,0,0
1239441591036772353,1239483929452777472,0,0,0
1239232023996370946,1239469202957877249,0,0,0
1240200720097382400,1240232811027628032,0,0,0
1240312967268360192,1240716037152260102,0,0,0
1240655512691257352,1240695284457299976,0,0,0
1240556625297096705,1240559184216719362,0,0,0
1240171793828261895,1240556625297096705,0,0,0
1241030808418365442,1241270011760488449,0,0,0
1242370394537033728,1242373659865624580,0,0,0
1242912689124446212,1242913995629215744,2,2,2
1244684940706492419,1244685606397136897,0,0,0
1244619776430833664,1244620329017839624,0,0,0
1244588480795213825,1244607999676755968,0,0,0
1245464602625875969,1245472559581335555,0,0,0
1245627810523144192,1245723567100215297,2,2,2
1245627810523144192,1245691051857379328,0,0,0
1246099499694673924,1246100333979480071,0,0,0
1246705563565723649,1246834877745561602,0,0,0
1247253831324512257,1247255242108002304,0,0,0
1247528189330460673,1247605593382293504,0,0,0
1247567176174915584,1247567607013793794,0,0,0
1247856617665769478,1247900004166983680,1,2,2
1247147739571531777,1248351811163033603,0,0,0
1248165458710335501,1248177371674546176,0,0,0
1248117184070586368,1248119756407832579,0,0,0
1248312944213069824,1248529198001643521,0,0,0
1248067452061261831,1248415637812080653,0,0,0
1249296419309195264,1249299128112340993,0,0,0
1249625107502374912,1249773578729525249,0,0,0
1249992993181962242,1250138542929559554,0,0,0
1249955242952790016,1249958591404146688,0,0,0
1250857753834401793,1250860514739195912,0,0,0
1250494066627936256,1250829098999525377,0,0,0
1250823199719329798,1250826239096639488,0,0,0
1250694256504836102,1250725943267786752,0,0,0
1250409279955374080,1250677165823270912,0,0,0
1250921897941966849,1251102219996467201,0,0,0
1248327614969704449,1252327374143868928,0,0,0
1250809468260159488,1252135231894827008,0,0,0
1252635741617893384,1252656794738012160,2,2,2
1252568328268283905,1252571157527756803,0,0,0
1252899021447991296,1252900838223294464,0,0,0
1252635741617893384,1252817803091927047,0,0,0
1251250298653413381,1253434713072644096,0,0,0
1253796205001355264,1253796546690375687,0,0,0
1253724170002870272,1253727228032155650,0,0,0
1253717838466072581,1253719984762650624,0,0,0
1253549228548186112,1254096241241309187,0,0,0
1253785021024010248,1254011448310861825,0,0,0
1253786216664903691,1253899306228219904,0,0,0
1253684737908015105,1253898884058939392,0,0,0
1254542772046094339,1254546944682270720,0,0,0
1254138299293327363,1254309921769885696,0,0,0
1254112218507030528,1254215640241647619,0,0,0
1256021753677127680,1256022585411809282,0,0,0
1256288479199342592,1256506731523432448,0,0,0
1256342675755843586,1256428607490179073,0,0,0
1256904175461568512,1256912473581649920,0,0,0
1257711595192496133,1257764525601894401,0,0,0
1257573865045270528,1257585510354165760,0,0,0
1258665187424567296,1258674653578629121,0,0,0
1259191150294040576,1259252655916023813,0,0,0
1259775040956088320,1259781191655477249,0,0,0
1260661116327395330,1260664150491045890,0,0,0
1260911992455323648,1260921357174558722,0,0,0
1252142572329410560,1260921340665552896,0,0,0
1261190496111808512,1261407056134889472,0,0,0
1261764957747716096,1261765491246403584,0,0,0
1262130378883596291,1262191387749081093,0,0,0
1262650841540034561,1262651064442073088,0,0,0
1263545495974281219,1263558789502033921,0,0,0
1264666434304688140,1264829317705498626,0,0,0
1262780289773907968,1264805705665654784,0,0,0
1266371241096568840,1267193138977873920,0,0,0
1262409564433022977,1267773337146662913,0,0,0
1268208750327926785,1268245903061770241,0,0,0
1268225194608525313,1268240410133979138,0,0,0
1268471453642612741,1268517996248608768,0,0,0
1268592924704624640,1268765651423891456,0,0,0
1270474207084851205,1270475084256378880,0,0,0
1270401521419726850,1270440323945242624,0,0,0
1270377411419537408,1270380054787260417,0,0,0
1270355591093981184,1270369270506180608,0,0,0
1270757601962332163,1270758120315400205,0,0,0
1271149993689260032,1271150711762542594,2,2,2
1271007209309208577,1271041169028526080,2,2,2
1271949077215936512,1271951843908825088,0,0,0
1271796230235066368,1271883986609090565,0,0,0
1271717190501351424,1271717887888232449,0,0,0
